Player,npxG,npSh,npxG_per_shot,Efficiency
Erling Haaland,23.1,109.0,0.21192660550458717,4.895504587155964
Callum Wilson,15.1,67.0,0.2253731343283582,3.4031343283582087
Mohamed Salah,18.5,119.0,0.15546218487394958,2.8760504201680672
Ollie Watkins,14.9,83.0,0.17951807228915664,2.6748192771084343
Harry Kane,16.7,119.0,0.1403361344537815,2.343613445378151
Gabriel Jesus,13.2,75.0,0.176,2.3232
Marcus Rashford,15.4,108.0,0.1425925925925926,2.195925925925926
Ivan Toney,13.2,81.0,0.16296296296296295,2.1511111111111108
Darwin Núñez,12.1,84.0,0.14404761904761904,1.7429761904761902
Kai Havertz,10.8,69.0,0.1565217391304348,1.6904347826086958
Eddie Nketiah,8.2,41.0,0.19999999999999998,1.6399999999999997
Danny Welbeck,9.4,62.0,0.15161290322580645,1.4251612903225808
Jamie Vardy,5.9,27.0,0.21851851851851853,1.2892592592592593
Kaoru Mitoma,8.1,52.0,0.15576923076923077,1.261730769230769
Son Heung-min,10.1,81.0,0.12469135802469135,1.2593827160493827
Taiwo Awoniyi,6.6,35.0,0.18857142857142856,1.2445714285714284
Anthony Martial,5.5,25.0,0.22,1.21
Diogo Jota,6.5,35.0,0.18571428571428572,1.2071428571428573
Bryan Mbeumo,9.0,69.0,0.13043478260869565,1.1739130434782608
Michail Antonio,6.6,39.0,0.1692307692307692,1.1169230769230767
Harvey Barnes,8.9,72.0,0.12361111111111112,1.100138888888889
Gabriel Martinelli,9.3,79.0,0.11772151898734177,1.0948101265822785
Dominic Solanke,9.1,76.0,0.11973684210526316,1.0896052631578947
Martin Ødegaard,10.0,93.0,0.10752688172043011,1.075268817204301
Kelechi Iheanacho,6.3,37.0,0.17027027027027025,1.0727027027027025
Patrick Bamford,7.0,48.0,0.14583333333333334,1.0208333333333335
Joelinton,7.1,51.0,0.1392156862745098,0.9884313725490196
Bukayo Saka,9.1,84.0,0.10833333333333332,0.9858333333333332
Cody Gakpo,6.2,39.0,0.158974358974359,0.9856410256410257
Yoane Wissa,5.6,32.0,0.175,0.9799999999999999
Alexander Isak,6.7,47.0,0.1425531914893617,0.9551063829787235
Miguel Almirón,8.0,69.0,0.11594202898550725,0.927536231884058
Che Adams,6.6,47.0,0.1404255319148936,0.9268085106382977
Raheem Sterling,6.2,42.0,0.14761904761904762,0.9152380952380953
Aleksandar Mitrović,8.6,81.0,0.10617283950617283,0.9130864197530864
