Squad,Team Explosiveness Index
Manchester City,32.163447368421046
Brighton,30.80528947368421
Liverpool,30.224526315789472
Arsenal,29.327631578947372
Newcastle Utd,28.17473684210526
Manchester Utd,27.66792105263158
Tottenham,20.240447368421055
Chelsea,16.491315789473685
West Ham,15.873473684210527
Brentford,15.73957894736842
Leeds United,15.068210526315788
Aston Villa,14.84863157894737
Leicester City,14.434315789473686
Fulham,13.434473684210527
Everton,13.334000000000003
Crystal Palace,11.510763157894738
Southampton,10.784184210526316
Wolves,10.420210526315788
Nott'ham Forest,9.856026315789473
Bournemouth,9.568736842105263
