Player,npxG/90,npSh,npxG_per_shot,Efficiency
Neal Maupay,1.1666666666666667,5.0,0.27999999999999997,0.32666666666666666
Bryan Mbeumo,0.625,5.0,0.5,0.3125
Callum Wilson,1.2727272727272725,7.0,0.19999999999999998,0.25454545454545446
Darwin Núñez,1.3333333333333335,9.0,0.17777777777777778,0.23703703703703707
Evan Ferguson,1.0434782608695652,13.0,0.1846153846153846,0.1926421404682274
Taiwo Awoniyi,0.6666666666666666,7.0,0.2571428571428572,0.17142857142857143
David Brooks,0.7999999999999999,6.0,0.19999999999999998,0.15999999999999998
Erling Haaland,0.7948717948717949,16.0,0.19375,0.15400641025641026
Nicolas Jackson,0.7692307692307693,15.0,0.2,0.15384615384615385
Bobby Reid,0.5666666666666667,7.0,0.24285714285714285,0.1376190476190476
Matty Cash,0.525,9.0,0.23333333333333334,0.12250000000000001
Abdoulaye Doucouré,0.475,8.0,0.2375,0.1128125
Yoane Wissa,0.6486486486486486,15.0,0.16,0.10378378378378378
Jarrod Bowen,0.575,13.0,0.1769230769230769,0.10173076923076921
Matheus Cunha,0.5,10.0,0.19,0.095
Dominic Solanke,0.45,9.0,0.2,0.09000000000000001
Ollie Watkins,0.5,10.0,0.18,0.09
Arnaut Danjuma,0.6428571428571429,14.0,0.1285714285714286,0.08265306122448982
Alexander Isak,0.4516129032258064,8.0,0.175,0.07903225806451611
Luis Díaz,0.48275862068965514,9.0,0.15555555555555556,0.07509578544061302
Odsonne Édouard,0.6052631578947368,19.0,0.12105263157894736,0.07326869806094181
Anthony Elanga,0.6,5.0,0.12,0.072
Pape Matar Sarr,0.5,10.0,0.12,0.06
Fábio Silva,0.4166666666666667,7.0,0.14285714285714285,0.05952380952380952
Eddie Nketiah,0.4666666666666666,11.0,0.12727272727272726,0.05939393939393938
Solly March,0.42857142857142855,11.0,0.13636363636363635,0.05844155844155843
Julián Álvarez,0.45,14.0,0.1285714285714286,0.057857142857142864
João Pedro,0.4,7.0,0.14285714285714285,0.05714285714285714
Casemiro,0.35,9.0,0.15555555555555556,0.05444444444444444
Son Heung-min,0.38888888888888884,10.0,0.13999999999999999,0.054444444444444434
James Maddison,0.43243243243243246,13.0,0.12307692307692308,0.053222453222453225
Mohamed Salah,0.39473684210526316,12.0,0.125,0.049342105263157895
Bukayo Saka,0.35,10.0,0.13999999999999999,0.048999999999999995
